id,name,category,tamilName,sizes,benefits,usage
white-poha-beaten-rice,White Poha / Beaten Rice,cereals,வெள்ளை அவல்,250g;500g;1kg;2kg,"Promotes easy digestion, acts as an instant energy source, and serves as a low-gluten alternative to refined grains.","Use to prepare sweet poha mixed with grated coconut and country sugar, or cook a savory tempered poha for breakfast."
cashew-whole-w320,Cashew Whole (W320),dry-fruits,முழு முந்திரி (W320),250g;500g;1kg,"High in healthy fats, supports heart health, provides active brain nourishment, and is loaded with plant-based protein.","Enjoy as a raw snack, roast lightly with ghee and black pepper, or blend into creamy gravies and traditional sweets."
kismis-raisins,Kismis / Raisins,dry-fruits,உலர் திராட்சை,250g;500g;1kg,"Rich in dietary fiber, aids healthy digestion, helps boost iron levels, and provides quick, natural energy.","Add to morning oats, mix into baking recipes, or garnish traditional desserts like payasam and halwa."
natural-almond,Natural Almond,dry-fruits,பாதாம் பருப்பு,250g;500g;1kg,"Loaded with antioxidant Vitamin E, helps manage cholesterol, supports brain memory functions, and builds bone strength.","Soak in water overnight and consume in the morning, slice over cereal bowls, or use in healthy nut milk recipes."
walnut-whole,Walnut Whole,dry-fruits,முழு வால்நட்,250g;500g;1kg,"Outstanding source of plant-based Omega-3 fatty acids, supports brain cognitive health, and reduces systemic inflammation.","Eat raw as a snack, chop into fresh green salads, crush into baking batters, or blend into nutritious smoothies."
bajra-atta-pearl-millet-flour,Bajra Atta / Pearl Millet Flour,flour,கம்பு மாவு,500g;1kg;2kg;5kg,"Extremely rich in magnesium, promotes blood sugar regulation, supports digestion, and helps stay cool during summer months.","Prepare healthy Bajra rotis, steam soft dumplings, or cook traditional cooling pearl millet porridge (Kambu Koozh)."
ragi-atta-finger-millet-flour,Ragi Atta / Finger Millet Flour,flour,கேழ்வரகு மாவு,500g;1kg;2kg;5kg,"Contains high concentration of calcium for bone density, rich in iron, regulates insulin sensitivity, and ideal baby food.","Make soft Ragi Dosas, nutritious Ragi Kali balls, warm breakfast porridges, or healthy finger millet flatbreads."
rajgira-atta-amaranth-flour,Rajgira Atta / Amaranth Flour,flour,ராஜ்கிரா மாவு (கீரை விதை மாவு),500g;1kg;2kg,"Provides complete plant protein with all essential amino acids, supports digestive health, and boosts muscle recovery.","Ideal for preparing gluten-free flatbreads, fasting recipes, healthy porridge mixes, and nutrient-rich cookies."
sattu-atta,Sattu Atta,flour,சத்து மாவு,500g;1kg;2kg,"Acts as a powerful traditional protein shake, restores body energy, cools down systemic heat, and aids clean digestion.","Mix with chilled water or buttermilk and a pinch of salt/cumin for a cooling beverage, or make sweet energy balls."
singhada-flour,Singhada Flour,flour,சிங்காரா மாவு (தண்ணீர் விசித்திர மாவு),500g;1kg,"High in potassium, contains low sodium content to manage blood pressure, and provides healthy energy during fasting.","Use to prepare fasting flatbreads (rotis), crispy pooris, traditional sweet halwas, or thick soups."
sooji-rawa,Sooji Rawa,flour,ரவா (உப்புமா ரவை),500g;1kg;2kg,"Provides quick, clean carbohydrates for daily energy, contains essential B-complex vitamins, and digestively light.","Use to prepare traditional breakfast Upma, soft Rawa Kesari sweet, crispy Rava Dosas, or steamed Rava Idli."
wheat-flour-khapli,Wheat Flour (Khapli),flour,கப்ளி கோதுமை மாவு (உமிக்கோதுமை),1kg;2kg;5kg,"Ancient Emmer wheat flour with highly digestible gluten structure, low glycemic index, and loaded with dietary fibers.","Make diabetic-friendly soft rotis, wholesome phulkas, nutrient-dense flatbreads, or artisanal rustic breads."
wheat-flour-lokwan,Wheat Flour (Lokwan),flour,லோக்வான் கோதுமை மாவு,1kg;2kg;5kg,"High gluten strength for soft cooking texture, rich in dietary fiber, and provides sustained energy throughout the day.","Perfect for preparing standard soft rotis, parathas, chapati rolls, and wholesome traditional Indian flatbreads."
wheat-flour-sharbati,Wheat Flour (Sharbati),flour,ஷர்பதி கோதுமை மாவு,1kg;2kg;5kg,"Sourced from the golden fields of MP, naturally sweet taste, keeps flatbreads soft for longer hours, high in protein.","Prepare premium, super-soft chapatis, layered parottas, fluffy pooris, or healthy baking crusts."
bajra-pearl-millet,Bajra / Pearl Millet,millets,முழு கம்பு,500g;1kg;2kg;5kg,"High in iron to fight anemia, rich in antioxidants, helps control acidity, and supports long-term heart wellness.","Soak and cook like rice, grind for fresh home-milled flour, or boil to prepare traditional millet porridge mixes."
barnyard-millet,Barnyard Millet,millets,குதிரைவாலி அரிசி,500g;1kg;2kg;5kg,"Highest fiber content among grains, low glycemic index makes it ideal for diabetics, and aids overall weight management.","Cook as a direct replacement for white rice, prepare delicious light upma, thin dosas, or soft steamed idlis."
brown-top-millet,Brown Top Millet,millets,பலா பச்சரிசி / பிரவுன்டாப் தினை,500g;1kg;2kg;5kg,"Helps detoxify the entire body, supports smooth digestive tract function, and provides cellular antioxidant defense.","Prepare standard boiled millet meals, cook savory biryanis, or make nutritious breakfast porridges."
foxtail-millet,Foxtail Millet,millets,தினை அரிசி,500g;1kg;2kg;5kg,"Supports nerve health, stabilizes blood cholesterol, builds strong immune response, and high in muscle-building protein.","Prepare classic Foxtail Millet Upma, cook sweet millet payasam with jaggery, or replace daily lunch rice."
kodo-millet,Kodo Millet,millets,வரகு அரிசி,500g;1kg;2kg;5kg,"Rich in polyphenols and antioxidants, helps regulate diabetes, aids liver function, and supports fat loss.","Use to cook light Kodo Rice, ferment batter for soft Kodo Idlis and Dosas, or make traditional pongal."
little-millet,Little Millet,millets,சாமை அரிசி,500g;1kg;2kg;5kg,"Rich in vitamin B3 (niacin) for energy metabolism, supports hormone balance, and extremely easy on the stomach.","Perfect for preparing light baby foods, replacing white rice in daily meals, making kheer, or baking crispy crackers."
ragi-whole-finger-millet,Ragi Whole / Finger Millet,millets,கேழ்வரகு முழுமை,500g;1kg;2kg;5kg,"Unbeatable plant source of calcium, enhances bone strength, promotes natural weight loss, and helps relax nerves.","Sprout at home to grind into health mixes, soak and cook as a grain, or prepare fermented traditional porridges."
coconut-oil,Coconut Oil,oil,தேங்காய் எண்ணெய் (மரச்செக்கு),500ml;1L;2L;5L,"Contains medium-chain triglycerides (MCTs) for instant brain energy, boosts metabolism, and supports scalp and skin health.","Ideal for traditional South Indian curries, stir-fries, baking, raw hair oil applications, or skin conditioning."
sunflower-oil,Sunflower Oil,oil,சூரியகாந்தி எண்ணெய் (மரச்செக்கு),500ml;1L;2L;5L,"High in unsaturated healthy fats, rich source of Vitamin E, supports heart health, and light on digestion.","Perfect for daily multi-purpose cooking, deep frying snacks, baking, and sautéing aromatic spices."
groundnut,Groundnut,oil-seeds,நிலக்கடலை / வேர்க்கடலை,500g;1kg;2kg,"Packed with plant proteins, contains cardioprotective monounsaturated fats, and provides key minerals like zinc and iron.","Roast for a crunchy evening snack, grind with red chillies for peanut chutney, or use in traditional sweets."
channa-whole-bengal-gram-whole,Channa (Whole) / Bengal Gram (Whole),pulses,கருப்பு கொண்டைக்கடலை (முழு),500g;1kg;2kg,"High protein and low glycemic index for diabetic control, excellent fiber source, and boosts blood health.","Prepare protein-rich boiled Sundal snack, add to traditional coconut-based gravies, or make spicy curries."
channa-dal-split-bengal-gram,Channa Dal / Split Bengal Gram,pulses,கடலை பருப்பு,500g;1kg;2kg,"Rich in dietary folate and protein, supports muscle building, and aids clean digestive tracking.","Use to temper chutneys and curries, grind for crispy vegetable vadas, or cook sweet traditional puran poli."
green-peas,Green Peas,pulses,பச்சை பட்டாணி (உலர்ந்தது),500g;1kg;2kg,"Contains heart-healthy minerals, high fiber assists bowel regularity, and provides essential plant proteins.","Soak overnight and cook in curries (like Mutter Paneer), add to vegetable biryanis, or make spiced pea mash."
moong-whole-green-gram-whole,Moong (Whole) / Green Gram (Whole),pulses,பச்சை பயறு (முழு),500g;1kg;2kg,"High in antioxidants, supports heart health, extremely cooling for the body, and easily digestible protein.","Sprout for nutritional salads, boil with jaggery for sweet snacks, or cook into nourishing green gram curries."
